Name,Identity,Type,Sex,Eye Color,Hair Color,Appearances,First Appearance,Studio
Kent Nelson,New Earth,Good,Male,Blue,Blond,422,1940,DC
Harvey Bullock,New Earth,Good,Male,Brown,Black,413,1974,DC
Rachel Roth,New Earth,Good,Female,Purple,Black,399,1980,DC
Helena Bertinelli,New Earth,Good,Female,Blue,Black,393,1989,DC
Wesley Dodds,New Earth,Good,Male,Brown,Brown,391,1939,DC
Nathaniel Adam,New Earth,Good,Male,Blue,White,386,1987,DC
John Constantine,New Earth,Good,Male,Blue,Blond,371,1984,DC
Albert Pratt,New Earth,Good,Male,Blue,Red,370,1940,DC
Theodore Knight,New Earth,Good,Male,Brown,Brown,356,1941,DC
Lobo,New Earth,Neutral,Male,Red,Black,353,1983,DC
Slade Wilson,New Earth,Neutral,Male,Blue,White,336,1980,DC
Beatriz da Costa,New Earth,Good,Female,Green,Green,325,1982,DC
William Batson,New Earth,Good,Male,Blue,Black,321,1940,DC
Carol Ferris,New Earth,Neutral,Female,Blue,Black,319,1959,DC
Jennifer-Lynn Hayden,New Earth,Good,Female,Green,Green,309,1983,DC
Renee Montoya,New Earth,Good,Female,Brown,Black,308,1992,DC
Harvey Dent,New Earth,Bad,Male,Blue,Brown,306,1942,DC
Courtney Whitmore,New Earth,Good,Female,Blue,Blond,305,1999,DC
Kendra Saunders,New Earth,Good,Female,Hazel,Brown,301,1999,DC
Kara Zor-El,New Earth,Good,Female,Blue,Blond,297,2004,DC
Jonah Hex,New Earth,Good,Male,Blue,Blond,291,1972,DC
Rex Tyler,New Earth,Good,Male,Blue,Brown,288,1940,DC
Pamela Isley,New Earth,Neutral,Female,Green,Red,286,1966,DC
Pieter Cross,New Earth,Good,Male,Blue,Black,284,1999,DC
Jonathan L. Thunder,New Earth,Good,Male,Blue,Blond,282,1940,DC
Mari McCabe,New Earth,Good,Female,Amber,Brown,268,1981,DC
Scott Free,New Earth,Good,Male,Blue,Black,268,1971,DC
Martha Clark,New Earth,Good,Female,Blue,White,266,1986,DC
John Zatara,New Earth,Good,Male,Blue,Black,256,1938,DC
Jonathan Kent,New Earth,Good,Male,Blue,White,254,1986,DC
Tatsu Yamashiro,New Earth,Good,Female,Brown,Black,252,1983,DC
Lawrence Trainor,New Earth,Good,Male,Blue,Blond,250,1963,DC
Brion Markov,New Earth,Good,Male,Green,Strawberry Blond,245,1983,DC
Sanderson Hawkins,New Earth,Good,Male,Blue,Blond,241,1941,DC
Jonathan Chambers,New Earth,Good,Male,Blue,Blond,239,1941,DC
Orion,New Earth,Good,Male,Blue,Strawberry Blond,237,1971,DC
Thaal Sinestro,New Earth,Neutral,Male,Yellow,Black,237,1961,DC
Cassandra Cain,New Earth,Good,Female,Brown,Black,235,1999,DC
Jason Todd,New Earth,Neutral,Male,Blue,Black,235,1987,DC
Jean-Paul Valley,New Earth,Good,Male,Blue,Blond,234,1992,DC
Hippolyta,New Earth,Good,Female,Blue,Black,231,1987,DC
Joseph Wilson,New Earth,Neutral,Male,Green,Blond,229,1984,DC
Bernhard Baker,New Earth,Good,Male,Blue,Blond,229,1965,DC
Sylvester Pemberton,New Earth,Good,Male,Blue,Black,229,1941,DC
Jesse Chambers,New Earth,Good,Female,Blue,Blond,228,1992,DC
Floyd Lawton,New Earth,Neutral,Male,Blue,Brown,227,1950,DC
Tora Olafsdotter,New Earth,Good,Female,Blue,White,225,1988,DC
Amanda Waller,New Earth,Good,Female,Brown,Black,222,1986,DC
Jonathan Crane,New Earth,Bad,Male,Blue,Brown,222,1941,DC
Shiera Sanders,New Earth,Good,Female,Brown,Red,219,1940,DC
Maxwell Lord IV,New Earth,Neutral,Male,Black,Brown,218,1987,DC
Jeb Stuart,New Earth,Good,Male,Blue,Brown,218,1961,DC
Damian Wayne,Prime Earth,Good,Male,Blue,Black,216,1987,DC
Big Barda,New Earth,Good,Female,Blue,Black,216,1971,DC
Niles Caulder,New Earth,Good,Male,Blue,Grey,214,1963,DC
James Corrigan,New Earth,Good,Male,Blue,Red,214,1940,DC
Samuel Bradley,New Earth,Good,Male,Grey,Grey,213,1937,DC
Richard Tyler,New Earth,Good,Male,Brown,Brown,212,1985,DC
Todd Rice,New Earth,Good,Male,Brown,Brown,208,1983,DC
Matrix,Pocket Universe,Good,Female,Blue,Blond,206,1988,DC
William Glenmorgan,New Earth,Good,Male,Blue,Black,199,1940,DC
Stephanie Brown,New Earth,Good,Female,Blue,Blond,198,1992,DC
Raymond Terrill,New Earth,Good,Male,Green,Red,192,1992,DC
Adam Blake,New Earth,Good,Male,Hazel,Brown,191,1951,DC
Jack Ryder,New Earth,Good,Male,Blue,Black,188,1968,DC
Justin Arthur,New Earth,Good,Male,Blue,Blond,184,1941,DC
Max Mercury,New Earth,Good,Male,Blue,Grey,183,1940,DC
Abigail Arcane,New Earth,Good,Female,Blue,White,182,1973,DC
Thomas Haukins,New Earth,Good,Male,Blue,Blond,181,1947,DC
Travis Morgan,New Earth,Good,Male,Blue,White,180,1975,DC
Gorilla Grodd,New Earth,Bad,Male,Grey,Black,179,1959,DC
Talia al Ghul,New Earth,Bad,Female,Brown,Brown,177,1971,DC
Patrick Dugan,New Earth,Good,Male,Blue,Red,177,1941,DC
James Harper Clone,New Earth,Good,Male,Blue,Brown,176,1971,DC
Thomas Kalmaku,New Earth,Good,Male,Brown,Black,176,1960,DC
Gabrielle Doe,New Earth,Good,Female,Blue,Blond,175,1983,DC
Henry Hall,New Earth,Good,Male,Red,Brown,175,1968,DC
Connor Hawke,New Earth,Good,Male,Green,Blond,174,1994,DC
Cyrus Gold,New Earth,Bad,Male,Black,White,174,1944,DC
Edward Nashton,New Earth,Neutral,Male,Blue,Black,173,1988,DC
Arisia Rrab,New Earth,Good,Female,Yellow,Blond,173,1981,DC
William Magnus,New Earth,Good,Male,Blue,Brown,170,1962,DC
Mary Batson,New Earth,Good,Female,Blue,Brown,168,1995,DC
Jean Loring,New Earth,Bad,Female,Green,Black,168,1961,DC
Grant Emerson,New Earth,Good,Male,Blue,Black,166,1994,DC
Rita Farr,New Earth,Good,Female,Brown,Brown,166,1963,DC
Jason Rusch,New Earth,Good,Male,Brown,Black,165,2004,DC
Hector Hall,New Earth,Good,Male,Blue,White,165,1983,DC
Jaime Reyes,New Earth,Good,Male,Brown,Black,164,2006,DC
Daniel Leong,New Earth,Good,Male,Black,Black,164,1942,DC
Vril Dox II,New Earth,Good,Male,Green,Blond,163,1964,DC
Roy Raymond," Sr.,New Earth",Good,Male,Blue,Brown,163,1949,DC
Metron,New Earth,Neutral,Male,Blue,Black,161,1971,DC
Hartley Rathaway,New Earth,Good,Male,Blue,Red,160,1959,DC
Lana Lang,New Earth,Good,Female,Green,Red,159,1986,DC
Rose Wilson,New Earth,Good,Female,Blue,White,158,1992,DC
DeSaad,New Earth,Bad,Male,Black,Black,158,1971,DC
Charles Taine,Pre-Zero Hour,Good,Male,Black,Black,158,1961,DC
Bane,New Earth,Bad,Male,Brown,Brown,157,1993,DC
Eve Eden,New Earth,Neutral,Female,Blue,Blond,154,1966,DC
Harleen Quinzel,New Earth,Bad,Female,Blue,Blond,153,1999,DC
Benjamin Turner,New Earth,Neutral,Male,Brown,Black,153,1975,DC
Mark Mardon,New Earth,Bad,Male,Blue,Black,152,1960,DC
Teth-Adam,New Earth,Neutral,Male,Brown,Black,152,1945,DC
Catherine Grant,New Earth,Good,Female,Blue,Blond,151,1987,DC
Terrence Sloane,New Earth,Good,Male,Blue,Brown,151,1942,DC
Jason Blood,New Earth,Good,Male,Blue,Red,148,1972,DC
Thomas Wayne,New Earth,Good,Male,Brown,Brown,142,1987,DC
Arthur Light,New Earth,Bad,Male,Black,Black,142,1962,DC
Artemis of Bana-Mighdall,New Earth,Good,Female,Green,Red,141,1994,DC
Alanna Strange,New Earth,Good,Female,Blue,Black,141,1958,DC
Nuidis Vulko,New Earth,Good,Male,Blue,White,140,1967,DC
Steven Dayton,New Earth,Good,Male,Blue,Brown,140,1964,DC
Lee Travis,New Earth,Good,Male,Black,Black,139,1938,DC
Martin Stein,New Earth,Good,Male,Brown,Grey,138,1978,DC
Unknown Soldier I,New Earth,Good,Male,Blue,Blond,136,1970,DC
Giovanni Giuseppe,New Earth,Neutral,Male,Blue,Blond,136,1960,DC
Cynthia Reynolds,New Earth,Good,Female,Blue,Black,134,1984,DC
Victoria Vale,New Earth,Good,Female,Blue,Red,134,1948,DC
Lucius Fox,New Earth,Good,Male,Brown,Black,133,1979,DC
Ganthet,New Earth,Good,Male,Green,White,132,1992,DC
Izaya,New Earth,Good,Male,Grey,White,132,1971,DC
Rory Regan,New Earth,Good,Male,Blue,Brown,131,1976,DC
Eclipso,New Earth,Bad,Male,Red,Black,131,1963,DC
Kyle Morgan,New Earth,Good,Male,Brown,Blond,131,1957,DC
Matthew Ryan,New Earth,Good,Male,Blue,Red,131,1957,DC
Dinah Drake,New Earth,Good,Female,Blue,Black,131,1947,DC
Robert Langstrom,New Earth,Neutral,Male,Brown,Brown,130,1970,DC
Sargent Steel,New Earth,Good,Male,Blue,Brown,130,1964,DC
Victory,New Earth,Good,Male,Black,White,130,1941,DC
Walter Haley,New Earth,Good,Male,Brown,Brown,129,1957,DC
Charles Victor Szasz,New Earth,Good,Male,Blue,Strawberry Blond,128,1967,DC
Ares,New Earth,Bad,Male,Red,Blond,127,1987,DC
Eradicator,New Earth,Good,Male,Photocellular,Black,126,1989,DC
Emil Hamilton,New Earth,Bad,Male,Hazel,Grey,126,1987,DC
Richard Swift,New Earth,Neutral,Male,Grey,Black,126,1942,DC
Frederick Freeman,New Earth,Good,Male,Blue,Black,125,1995,DC
Katar Hol,New Earth,Good,Male,Blue,Black,125,1989,DC
Maxima,New Earth,Good,Female,Brown,Red,124,1989,DC
Dawn Granger,New Earth,Good,Female,Blue,White,124,1988,DC
Inza Cramer,New Earth,Good,Female,Green,Strawberry Blond,124,1940,DC
Linda Danvers,New Earth,Good,Female,Blue,Blond,123,1996,DC
Gunner MacKay,New Earth,Good,Male,Blue,Blond,123,1959,DC
Antonia Monetti,New Earth,Good,Female,Blue,Black,122,1996,DC
Jack Knight,New Earth,Good,Male,Black,Black,122,1994,DC
Nimue Inwudu,New Earth,Good,Female,Green,Black,121,1978,DC
Sarge Clay,New Earth,Good,Male,Blue,Strawberry Blond,121,1959,DC
Pallas Athena,New Earth,Neutral,Female,Grey,Brown,118,1958,DC
Evan McCulloch,New Earth,Bad,Male,Brown,Brown,116,1989,DC
Terrence Long,New Earth,Good,Male,Blue,Red,116,1981,DC
Granny Goodness,New Earth,Bad,Female,Blue,White,115,1971,DC
Dolphin,New Earth,Good,Female,Blue,Silver,115,1968,DC
Zeus,New Earth,Neutral,Male,Blue,White,115,1941,DC
Holly Robinson,New Earth,Good,Female,Blue,Red,114,1987,DC
Martha Kane,New Earth,Good,Female,Blue,Black,113,1987,DC
Jason Woodrue,New Earth,Bad,Male,Red,Green,113,1962,DC
John Sargent,New Earth,Good,Male,Brown,Brown,113,1941,DC
Dian Belmont,New Earth,Good,Female,Hazel,Brown,113,1940,DC
Edward Bloomberg,New Earth,Good,Male,Yellow,Grey,111,1984,DC
Leslie Thompkins,New Earth,Good,Female,Blue,White,111,1976,DC
Tara Markov,Team Titans,Good,Female,Blue,Blond,110,1991,DC
Dmitri Pushkin,New Earth,Good,Male,Brown,Brown,110,1987,DC
June Moone,New Earth,Good,Female,Green,Black,110,1966,DC
Mia Dearden,New Earth,Good,Female,Blue,Blond,109,2001,DC
Krypto,New Earth,Good,Male,Blue,White,109,1955,DC
Ohiyesa I,New Earth,Good,Male,Black,Black,109,1949,DC
Donald Richards,New Earth,Good,Male,Brown,Brown,109,1942,DC
Zauriel,New Earth,Good,Male,Red,White,108,1997,DC
Leonid Kovar,New Earth,Good,Male,Green,Blond,108,1968,DC
Thomas Blake,New Earth,Neutral,Male,Blue,Blond,108,1963,DC
Emily Briggs,New Earth,Good,Female,Blue,Red,107,1985,DC
Lilith Clay,New Earth,Good,Female,Green,Strawberry Blond,107,1970,DC
Thomas Tresser,New Earth,Good,Male,Blue,Blond,106,1980,DC
Hans von Hammer,New Earth,Good,Male,Blue,Red,106,1965,DC
William Polk,New Earth,Good,Male,Blue,Brown,106,1948,DC
Lyla Michaels,New Earth,Good,Female,Green,Blond,105,1982,DC
Jervis Tetch,New Earth,Bad,Male,Blue,Red,105,1948,DC
Enya Wazzo,New Earth,Good,Female,Blue,Black,104,1989,DC
Werner Vertigo,New Earth,Neutral,Male,Blue,Blond,104,1978,DC
Sapphire Stagg,New Earth,Neutral,Female,Blue,Blond,104,1965,DC
Zinda Blake,New Earth,Good,Female,Blue,Blond,104,1959,DC
Aphrodite,New Earth,Neutral,Female,Blue,Blond,104,1941,DC
Sarah Essen,New Earth,Good,Female,Blue,Blond,103,1987,DC
Jade Nguyen,New Earth,Bad,Female,Green,Black,103,1983,DC
Wing How,New Earth,Good,Male,Brown,Black,103,1938,DC
Jack Drake,New Earth,Good,Male,Black,Brown,102,1989,DC
Adolf Hitler,New Earth,Bad,Male,Brown,Brown,101,1942,DC
Grace Choi,New Earth,Good,Female,Brown,Red,100,2003,DC
Natasha Irons,New Earth,Good,Female,Brown,Black,99,1994,DC
Katherine Spencer,New Earth,Good,Female,Blue,Black,98,2004,DC
Stealth,New Earth,Good,Female,Pink,White,98,1989,DC
Lorraine Reilly,New Earth,Good,Female,Blue,Red,98,1982,DC
Noah Kuttler,New Earth,Bad,Male,Green,Brown,98,1976,DC
Tef\u00e9 Holland,New Earth,Bad,Female,Blue,White,97,1989,DC
Hippolyta Trevor,New Earth,Good,Female,Blue,Blond,97,1983,DC
Bizarro,New Earth,Neutral,Male,Black,Black,96,2000,DC
Henry Henshaw,New Earth,Bad,Male,Blue,Black,96,1990,DC
Maxine Hunkel,New Earth,Good,Female,Green,Red,95,2007,DC
Dream,New Earth,Neutral,Male,Black,Black,95,1989,DC
Wade Eiling,New Earth,Bad,Male,Red,Brown,95,1987,DC
Black Manta,New Earth,Bad,Male,Brown,Black,95,1967,DC
Felix Faust,New Earth,Bad,Male,Brown,Black,95,1962,DC
Virgil Hawkins,Dakotaverse,Good,Male,Brown,Black,94,1993,DC
James Harper,New Earth,Good,Male,Blue,Brown,94,1942,DC
Soranik Natu,New Earth,Good,Female,Purple,Black,93,2005,DC
Anissa Pierce,New Earth,Good,Female,Brown,Black,92,2003,DC
Henry King," Jr.,New Earth",Good,Male,Blue,Strawberry Blond,92,1983,DC
Orm Marius,New Earth,Bad,Male,Brown,Brown,92,1966,DC
Citizen Abra,New Earth,Bad,Male,Blue,Black,92,1962,DC
Merlin,New Earth,Neutral,Male,Black,White,92,1936,DC
William Payton,New Earth,Good,Male,Brown,Brown,91,1988,DC
Danette Reilly,New Earth,Good,Female,Blue,Red,91,1981,DC
Jonathan Tane,New Earth,Good,Male,Blue,Blond,91,1948,DC
Ronald Troupe,New Earth,Good,Male,Brown,Black,90,1991,DC
William Storm,New Earth,Good,Male,Brown,Brown,90,1964,DC
Hermes,New Earth,Neutral,Male,Blue,Blond,90,1959,DC
Timothy Hunter,New Earth,Good,Male,Black,Black,89,1990,DC
Taghurrhu,New Earth,Good,Male,Green,Orange,89,1981,DC
Sandra Wu-San,New Earth,Neutral,Female,Brown,Black,89,1976,DC
Eobard Thawne,New Earth,Bad,Male,Blue,Strawberry Blond,89,1963,DC
William Zard,New Earth,Bad,Male,Blue,Black,89,1947,DC
Arnold Wesker,New Earth,Bad,Male,Blue,White,88,1988,DC
Philippus,New Earth,Good,Female,Brown,Black,88,1987,DC
Miriam Delgado,Team Titans,Good,Female,Black,Black,87,1991,DC
Mikaal Tomas,New Earth,Good,Male,Blue,Purple,87,1976,DC
Peter Ross,New Earth,Good,Male,Blue,Blond,87,1961,DC
Suzanne King-Jones,New Earth,Good,Female,Blue,Blond,86,1997,DC
Shayera Thal,New Earth,Good,Female,Blue,Red,85,1989,DC
Mallah,New Earth,Bad,Male,Brown,Brown,85,1964,DC
Congorilla,New Earth,Good,Male,Blue,Gold,85,1959,DC
Thomas Elliot,New Earth,Bad,Male,Blue,Red,84,2003,DC
Greta Hayes,New Earth,Good,Female,Blue,Blond,84,1998,DC
Julia Deneiros,New Earth,Good,Female,Blue,Grey,84,1987,DC
Etta Candy,New Earth,Good,Female,Green,Brown,84,1942,DC
Thomas Bronson,New Earth,Good,Male,Blue,Black,83,2007,DC
Karen Beecher,New Earth,Good,Female,Brown,Black,83,1976,DC
Ellen Frazier,New Earth,Good,Female,Green,Red,83,1965,DC
Simon Stagg,New Earth,Bad,Male,Blue,White,83,1965,DC
Rex," the Wonder Dog,New Earth",Good,Male,Blue,White,83,1952,DC
Thomas Monaghan,New Earth,Good,Male,Black,Black,82,1993,DC
Kalibak,New Earth,Bad,Male,Red,Black,82,1971,DC
Drury Walker,New Earth,Bad,Male,Red,Brown,82,1951,DC
Terrence Thirteen,New Earth,Good,Male,Brown,Brown,82,1951,DC
Hannibal Hawkes,New Earth,Good,Male,Black,Black,82,1948,DC
Circe,New Earth,Bad,Female,Red,Purple,81,1988,DC
Baran Flinders,New Earth,Bad,Male,Blue,Red,81,1981,DC
Mark Shaw,New Earth,Good,Male,Blue,Brown,81,1975,DC
Neal Emerson,New Earth,Bad,Male,Blue,Black,81,1963,DC
Cameron Chase,New Earth,Good,Female,Green,Blond,80,1998,DC
John Corben,New Earth,Bad,Male,Photocellular,Brown,80,1987,DC
Vanessa Kapatelis,New Earth,Good,Female,Blue,Brown,80,1987,DC
Lian Harper,New Earth,Good,Female,Green,Black,80,1986,DC
Malcolm Duncan,New Earth,Good,Male,Brown,Black,80,1970,DC
Samuel Scudder,New Earth,Bad,Male,Brown,Brown,80,1959,DC
Sasha Bordeaux,New Earth,Good,Female,Blue,Black,79,2000,DC
Valentina Vostok,New Earth,Good,Female,Blue,Blond,79,1977,DC
Paul Booker,New Earth,Good,Male,Brown,Black,79,1966,DC
Abigail Hunkel,New Earth,Good,Female,Black,Brown,79,1939,DC
Cyril Saunders,New Earth,Good,Male,Hazel,White,79,1937,DC
Owen Mercer,New Earth,Reformed,Male,Blue,Red,78,2004,DC
Christopher Smith,New Earth,Good,Male,Blue,Black,78,1966,DC
Roger Hayden,New Earth,Bad,Male,Blue,Red,78,1965,DC
Hector Hammond,New Earth,Bad,Male,Blue,Brown,78,1961,DC
Lorena Marquez,New Earth,Good,Female,Brown,Brown,77,2004,DC
Boodikka,New Earth,Good,Female,Green,Black,77,1992,DC
Samuel Lane,New Earth,Bad,Male,Blue,Grey,77,1987,DC
Lashina,New Earth,Bad,Female,Blue,Black,77,1972,DC
Curtis Metcalf,Dakotaverse,Good,Male,Brown,Black,76,1993,DC
Java,New Earth,Bad,Male,Black,Black,76,1965,DC
Helena Sandsmark,New Earth,Good,Female,Brown,Brown,75,1996,DC
Sarah Charles,New Earth,Good,Female,Brown,Black,75,1985,DC
Richard Flag," Jr.,New Earth",Good,Male,Blue,Brown,75,1959,DC
Nathaniel Heywood,New Earth,Good,Male,Green,Red,74,2007,DC
Hugh Dawkins,New Earth,Good,Male,White,Blond,74,1986,DC
Neron,New Earth,Bad,Male,White,Blond,73,1995,DC
Victor Zsasz,New Earth,Bad,Male,Blue,Blond,73,1992,DC
Kay Challis,New Earth,Good,Female,Blue,Black,73,1989,DC
Roland Desmond,New Earth,Bad,Male,Brown,Brown,73,1965,DC
Carl Sands,New Earth,Bad,Male,Brown,Black,73,1961,DC
Dane Dorrance,New Earth,Good,Male,Brown,Brown,73,1960,DC
Flying Cloud,New Earth,Good,Male,Brown,Brown,73,1960,DC
Peter Merkel," Jr.,New Earth",Bad,Male,Grey,Red,72,2005,DC
Garryn Bek,New Earth,Good,Male,Blue,Brown,72,1989,DC
Jose Delgado,New Earth,Good,Male,Brown,Black,72,1987,DC
Cain,New Earth,Bad,Male,Black,Brown,72,1968,DC
Steven Trevor,New Earth,Good,Male,Blue,Blond,72,1941,DC
Edgar Cizko,New Earth,Bad,Male,Blue,Black,71,1991,DC
Louise Lincoln,New Earth,Bad,Female,Blue,Blue,71,1984,DC
Brian Savage,New Earth,Good,Male,Blue,Black,71,1977,DC
Thomas Oscar Morrow,New Earth,Bad,Male,Blue,Brown,71,1964,DC
Kingsley Faraday,New Earth,Good,Male,Blue,White,70,1950,DC
Clifford Zmeck,New Earth,Bad,Male,Blue,Brown,69,1988,DC
Nabu,New Earth,Good,Male,Blue,White,69,1941,DC
Bleez,New Earth,Neutral,Female,Blue,Black,68,2008,DC
Catherine Cobert,New Earth,Good,Female,Blue,Black,68,1987,DC
Harry Stein,New Earth,Good,Male,Brown,Brown,68,1985,DC
Adeline Kane,New Earth,Neutral,Female,Green,Brown,68,1983,DC
Tara Markov,New Earth,Bad,Female,Blue,Blond,68,1982,DC
Hop Harrigan,New Earth,Good,Male,Blue,Blond,68,1939,DC
Vath Sarn,New Earth,Good,Male,Black,Black,67,2005,DC
Mercy Graves,New Earth,Bad,Female,Blue,Blond,67,1999,DC
Arnold Munro,New Earth,Good,Male,Blue,Black,67,1987,DC
Bibbo Bibbowski,New Earth,Good,Male,Grey,Grey,67,1987,DC
Jebediah of Canaan,New Earth,Good,Male,Blue,White,67,1987,DC
Lawrence Bolatinsky,New Earth,Bad,Male,Blue,Black,67,1984,DC
Lydea Mallor,New Earth,Good,Female,Blue,Black,67,1982,DC
Tana Moon,New Earth,Good,Female,Brown,Black,66,1993,DC
Maxine Baker,New Earth,Good,Female,Green,Red,66,1988,DC
Jason Bard,New Earth,Good,Male,Brown,Brown,66,1969,DC
Krona,New Earth,Bad,Male,Green,White,66,1965,DC
Daniel Dunbar,New Earth,Good,Male,Blue,Red,66,1942,DC
Scandal Savage,New Earth,Bad,Female,Brown,Brown,65,2005,DC
Karen Lou Faulkner,New Earth,Neutral,Female,Brown,Brown,65,1987,DC
Kent V. Nelson,New Earth,Good,Male,Brown,Blond,64,2007,DC
Janos Prohaska,New Earth,Good,Male,Blue,Black,64,1988,DC
Edward Fyers,New Earth,Good,Male,Blue,Brown,64,1987,DC
Mister Mxyzptlk,New Earth,Neutral,Male,Black,White,64,1987,DC
Jor-El,New Earth,Good,Male,Blue,Black,64,1986,DC
Yolanda Montez,New Earth,Good,Female,Brown,Reddish Brown,64,1985,DC
William Hand,New Earth,Bad,Male,Brown,Black,64,1964,DC
Molly Mayne,New Earth,Good,Female,Green,Red,64,1947,DC
Amy Winston,New Earth,Good,Female,Violet,Blond,63,1983,DC
Klarion Bleak,New Earth,Neutral,Male,Black,Black,62,1973,DC
Mark Merlin,New Earth,Good,Male,Blue,Brown,62,1959,DC
Garfield Lynns,New Earth,Bad,Male,Blue,White,62,1952,DC
David Reid,New Earth,Neutral,Male,Blue,Blond,61,2008,DC
Emil LaSalle,New Earth,Bad,Male,Brown,Black,61,1981,DC
Clifford Carmichael,New Earth,Bad,Male,Brown,Brown,61,1978,DC
Morgaine le Fey,New Earth,Bad,Female,Black,Black,61,1972,DC
Per Degaton,New Earth,Bad,Male,Red,Red,61,1947,DC
Roxanne Leech,New Earth,Good,Female,Blue,Blond,60,1993,DC
Paco Ramone,New Earth,Good,Male,Brown,Brown,60,1984,DC
Bette Sans Souci,New Earth,Bad,Female,Blue,Red,60,1982,DC
Martha Roberts,New Earth,Good,Female,Brown,Brown,60,1939,DC
Angela Hawkins III,New Earth,Bad,Female,Green,Black,59,1981,DC
Pren,New Earth,Good,Male,Blue,Red,59,1981,DC
Arthur Brown,New Earth,Bad,Male,Blue,Blond,59,1966,DC
Richard Starr,New Earth,Good,Male,Blue,Black,59,1958,DC
Langford Terrill,New Earth,Good,Male,Blue,Blond,59,1940,DC
Ryan Kendall,New Earth,Good,Male,Blue,Black,58,1992,DC
Death,New Earth,Neutral,Female,Black,Black,58,1989,DC
Cameron Mahkent,New Earth,Bad,Male,Blue,White,58,1987,DC
Trigon,New Earth,Bad,Male,Red,Red,58,1981,DC
James Rook,New Earth,Good,Male,Green,Brown,58,1969,DC
Roscoe Dillon,New Earth,Bad,Male,Blue,Brown,58,1961,DC
Jonathan Gabrielli I,New Earth,Good,Male,Black,Black,58,1942,DC
Anita Fite,New Earth,Good,Female,Brown,Black,57,2000,DC
Arak Red-Hand,New Earth,Good,Male,Brown,Black,57,1981,DC
Anthony Rodriguez I,New Earth,Good,Male,Black,Brown,57,1942,DC
Paul Kirk II,New Earth,Good,Male,Blue,Brown,57,1942,DC
Hera,New Earth,Neutral,Female,Blue,Red,57,1941,DC
Baby Wildebeest,New Earth,Good,Male,White,Black,56,1992,DC
Troy Stewart,Pre-Zero Hour,Good,Male,Black,Black,56,1976,DC
Sebastian Faust,New Earth,Good,Male,Blue,Black,55,1993,DC
Voz,New Earth,Good,Male,Brown,Brown,55,1993,DC
Stanley Kitch,New Earth,Good,Male,Blue,Blond,55,1989,DC
Henry Heywood III,New Earth,Good,Male,Blue,Red,55,1984,DC
Yera Allon,Pre-Zero Hour,Good,Female,Purple,Purple,55,1982,DC
Anton Arcane,New Earth,Bad,Male,Black,White,55,1973,DC
Judy Walton,New Earth,Good,Female,Blue,Blond,55,1960,DC
Johnny Peril,New Earth,Good,Male,Blue,Blond,55,1947,DC
Michael Akins,New Earth,Neutral,Male,Brown,Black,54,2001,DC
Natt Walls,New Earth,Neutral,Male,Brown,Black,54,1996,DC
Carol Bucklen,New Earth,Good,Female,Brown,Black,54,1995,DC
Jared Stevens,New Earth,Good,Male,Blue,Black,54,1994,DC
Satanus,New Earth,Bad,Male,Red,Black,54,1992,DC
Big Bear,New Earth,Good,Male,Green,Red,54,1971,DC
Merlyn,New Earth,Bad,Male,Black,Black,54,1971,DC
